Date	Type	Country	Area	Location	Activity	Name	Sex 	Age	Fatal (Y/N)	Grad Injury	Location of Injury	Type of Shark	Size of Shark	Investigator or Source	pdf
	Unprovoked	USA	Texas	Point Comfort, Calhoun County	Fishing	Tommy Barilek	M	14	N	Lacerations	right foot	Unknown	Unknown	Victoria Advocate, 7/20/1966, p.8	bBarilek
	Unprovoked	TAIWAN	Northern Taiwan	Tamsui Beach	Swimming	Yang Ching-Hui	M	20	Y	Fatal	left leg	Unknown	Unknown	South China Morning Post (Hong Kong), 7/19/1966 	aYang
1966-07-14	Unprovoked	PAPUA NEW GUINEA	Admiralty Islands, Manus Province	Manus Island	Swimming	Sasa	F	25	Y	Fatal	Unknown	Unknown	Unknown	H.D.Baldridge (1994) SAF Case #1415	NVSasa
1966-07-03	Invalid	USA	Florida	Key Biscayne, Miami, Dade County	Free diving	John Brothers	M	46		No injury	Unknown	Unknown	Unknown	H.D. Baldridge, p.210	Brothers
1966-07-02	Boat	CARIBBEAN SEA		Between USA & Cuba		rowboat, occupants: refugees fleeing Cuba		0	N	No injury	Unknown	Unknown	Unknown	P. Gilbert; SAF Case #1436	CubanRefugees
1966-06-22	Provoked	USA	New Jersey	Reeds Bay, Brigantine, Atlantic County	Clamming	Harry Hiksdal	M	15	N	Injury	right leg	for shark	2.	Press clippings	Hiksdal
1966-06-11	Provoked	USA	Florida	Ft. Lauderdale, Broward County	Fishing	Burton Chamberlin	M	18	N	Injury	Unknown	hammerhead shark	1.	T. Bailey	Chamberlin
1966-06-04	Unprovoked	USA	Texas	Bolivar Peninsula	Swimming	David N. Holmgreen	M	18	N	Injury	Unknown	small shark	Unknown	D. Holmgreen	Holmgreen
1966-06-02	Provoked	FRENCH POLYNESIA	Society Islands	Tahiti	Fishing	Faarei Tuhei	M	0	N	Injury	Unknown	Unknown	Unknown	H.D. Baldridge (1994), SAF Case #1434	Tuhei
	Sea Disaster	AUSTRALIA	New South Wales	Jervis Bay	Sinking of the dredge World Atlas	Kor Van Helden	M	40	Y	Fatal	Unknown	Unknown	Unknown	 J. Green, p.35	cVanHelden
	Unprovoked	AUSTRALIA	New South Wales	 Bellingen	Fishing	Colin Oxenbridge	M	0	N	Injury	Foot	Unknown	1.	Bellingen Courier-Sun; J. Green, p.35	bOxenbridge
	Sea Disaster	AUSTRALIA		7 miles offshore on east coast of Australia	Shipwreck	Daniel Mangel, seaman	M	38	Y	Fatal	Unknown	white shark	Unknown	Barker & Ritson	aMangel
	Invalid	USA	Florida	Fernandina Beach, Nassau County	Spearfishing / Scuba diving	Steven Oschosky	M	24		No injury	Unknown	Unknown	Unknown	H.D. Baldridge,p.184; SAF Case  #1412	bOschoskey
	Sea Disaster	PHILIPPINES		Off Cebu	The passenger ship Pioneer Cebu  capsized & sank in Typhoon Irma		M	0	Y	Fatal	whose foot	Unknown	Unknown	Maryborough Chronicle (Queensland), Lancashire Evening Post  6/20/1966 	aPioneerCebu
1966-04-08	Unprovoked	USA	Puerto Rico		Swimming	John Seaver	M	25	N	Injury	Foot	Unknown	Unknown	H.D. Baldridge (1994) SAF Case #1483	NVSeaver
	Sea Disaster	AUSTRALIA	New South Wales	Botany Bay, Sydney	Overturned skiff	Occupants: Jack Munro, Quinton Graham & Donald Shadler	M	0	N	Injury	Unknown	Unknown	Unknown	SAF Case #1413	NVskiff
1966-03-20	Provoked	AUSTRALIA	New South Wales	Maroubra	Fishing (big game)	35' cruiser, Maluka II, occupants: Mr & Mrs E. Potts		0	N	No injury	Unknown	White shark	7.	P. W. Gilbert; SAF Case #1435	Maroubra
1966-03-12	Sea Disaster	SUDAN	Red Sea		The World Liberty and the tanker Mosli collided. The  Halcyon Breeze sent a lifeboat to the rescue, but it was smashed, throwing 6 men in the  water.	nan	M	0	Y	Fatal	Unknown	Unknown	Unknown	G. Burns; Befast News-Letter, 3/30/1966	RedSea
1966-02-27	Unprovoked	AUSTRALIA	New South Wales	Coledale Beach	Treading water	Raymond Short	M	13	N	Injury	Left leg	White shark	2.	T. B. Gorman & D.J. Dunatan, NSW State Fisheries Laboratories; H.D. Baldridge, p.58; A. Sharpe, pp.77-79; A. MacCormick, p.162	Short
1966-01-29	Provoked	SOUTH AFRICA	Western Cape Province	Strandfontein Beach	Helping men land a shark	John Campbell	M	33	N	Injury	Left leg	Copper shark	Unknown	Daily News, 2/31/1966; J. Penrith & J. D'Aubrey	Campbell
1966-01-25	Sea Disaster	INDONESIA	North Sumatra	Near Belawan	wreck of the State Oil Company ship Permina	nan		0	Y	Fatal	Unknown	Unknown	Unknown	Sydney Daily Telegraph	Permina
1966-01-22	Unprovoked	USA	California	Pebble Beach, Cypress Point, Monterey County	Free diving / spearfishing (resting on the surface)	Donald Barthman	M	29	N	Injury	Unknown	White shark	3 m	D. Miller & R. Collier; R. Collier, pp.40-41; H.D. Baldridge, p.76	BarthmanCollier
1966-01-15	Unprovoked	AUSTRALIA	New South Wales	Bellambi	Spearfishing	Cornelius Meyer	M	30	N	Injury	Unknown	Wobbegong shark	5'	The Age, 1/17/1966, p.1	Meyer
1966-01-14	Sea Disaster	COLUMBIA		Off Cartagena	Colombian  (Avianca) DC-4 airliner plunged into the sea 5 minutes after takeoff	nan		0	Y	Fatal	Unknown	Unknown	Unknown	Virgin Islands Daily News, 1/17/1966; SAF Case #1399	AviancaCrash
1966-01-11	Unprovoked	SOUTH AFRICA	Eastern Cape Province	Riet River	Standing	Robin Michael Long	M	16	N	Injury	Unknown	Zambesi shark	1.	J.L.B. Smith, J. Wallace, M. Levine, GSAF	Long
1966-01-10	Unprovoked	AUSTRALIA	Western Australia	Woodman Point	Jumped into the water	Marko Kovacich	M	43	N	Injury	Lower leg	carpet shark	76 	West Australian (Perth), 1/20/1966 	Kovacich
1966-01-09	Unprovoked	SOUTH AFRICA	KwaZulu-Natal	Umkomaas	Body surfing	Dennis Vorster	M	15	N	Injury	Lower leg	Unknown	1.	J. DAubrey, M. Levine, GSAF	Vorster
1966-01-08	Unprovoked	NEW ZEALAND	North Island	Oakura Beach, Taranaki	Body surfing 	Rae Marion Keightley (fe)	F	15	Y	Fatal	left leg	Unknown	Unknown	R.D. Weeks, GSAF; Dr. G. E. Walker	Knightley
1966-01-05	Unprovoked	USA	Florida	Hollywood, Broward County	Swimming	George A. C. Scherer	M	35	N	Injury	Unknown	Hammerhead shark	Unknown	J. Ulsh	Scherer
	Invalid	USA	California	Huntington Beach, Orange County	Walking	Jane Derry	F	15		Fatal	lower leg	Unknown	Unknown	R. Collier	Derry
1965-12-28	Unprovoked	AUSTRALIA	Western Australia	Bathurst Reef, Rottnest Island	Spearfishing, but standing in knee-deep water		M	40	N	Injury	Unknown	carpet shark	1.	Orange Daily (NSW), 12/29/1965; T. Peake, GSAF	male
1965-12-19	Unprovoked	JOHNSTON ISLAND			Freediving	David Fellows	M	0	N	No injury	Unknown	reef shark	Unknown	H.D. Baldridge (1994), SAF Case #1617	Fellows
1965-12-10	Boat	AUSTRALIA	South Australia	Cape Jervis	Fishing	19' clinker-built craft. Occupants: Ray Peckham & Mr. L.C. Wells		0	N	No injury	Unknown	Unknown	15'	Adelaide Advertiser, 12/11/1965, SAF Case 1345	Jervisboat
	Provoked	AUSTRALIA	Queensland	Near Brisbane	Fishing from 34' boat when pulled overboard by hooked shark	Gordon Hobrook	M	43	Y	Fatal	Unknown	Unknown	4.	Evening Press (Dublin, Ireland) 11/22/1965 	bHolbrook
	Unprovoked	PACIFIC OCEAN 	250 miles southwest of O'ahu, Hawaii	Japanese fishing boat Taihei Maru No.10	Hauling dead shark aboard, when another shark leapt out of the water & bit him	Takashi Kameya	M	44	N	Injury	Unknown	Unknown	Unknown	P. Resos & J. Souza, Pararescue, 76th Air Rescue Squadron, Hickam AFB, Hawaii	aKameya
	Invalid	PANAMA	Caribbean Sea	Golfo de los Mosquitos	Argentine Air Force C-54	68 people missing (crew & passengers) 		0		Fatal	Unknown	Unknown	Unknown	Tropic Survival School 	bArgentineAircraft
	Unprovoked	AUSTRALIA	Queensland	Oak Beach	Surfing	Roy McGuffie	M	24	N	Injury	right thigh	nurse shark	2.	Telegraph (Sydney), Mirror (Sydney), Post (Cairns),  11/4/1965; J. Green, p.35	aMcGuffie
1965-10-21	Unprovoked			Florida Strait	The boat Caribou II sank	Mario Castellanos	M	39	N	Injury	Unknown	Unknown	Unknown	Lodi News Sentinel, 10/30/1965	Castellanos
	Unprovoked	BAHAMAS	New Providence Island	Nassau	Sunbathing on beach when he saw child being attacked by the shark	Bruce Johnson, rescuer	M	32	N	Injury	right leg	lb shark	1.	St. Paul Dispatch, 10/27/1965	bJohnson
	Unprovoked	BAHAMAS	New Providence Island	Nassau	Playing in the water	young girl	F	0	Y	Fatal	Unknown	lb shark	1.	St. Paul Dispatch, 10/27/1965	agirl
1965-10-10	Unprovoked	NEW BRITAIN	West coast	Outside the reef off Moputu Village, near Talasea	Spearfishing, shot a turtle	Kaleva	M	15	Y	Fatal	Unknown	2 shark	Unknown	Morning Herald (Sydney) 10/17/1965	Kaleva
	Unprovoked	PAPUA NEW GUINEA	New Britain		Wading	John Guge	M	27	N	Injury	Unknown	Unknown	Unknown	H.D. Baldridge (1994) SAF Case #1475	NVGuge
1965-09-21	Provoked	PAPUA NEW GUINEA	Madang Province	Sek Harbor	Spearing fish	Dabek Orou, 	M	0	N	Minor injury	Unknown	small shark	Unknown	South Pacific Post, 9/22/2965; SAF Case #1386	Orou
1965-09-12	Provoked	PAPUA NEW GUINEA	East Sepik	Moem Village near Wewak	Fishing (rod & line)	Ilu	M	0	N	Injury	Leg   hand	Unknown	0.	The Times (London), 	Ilu
1965-09-08	Unprovoked	MEXICO	Veracruz	Playa Villa del Mar		Miguel Salas Gonzalez	M	23	N	Injury	Unknown	Unknown	300	F. Piskur; press clipping dated 9/9/1965	Gonzalez
1965-08-30	Invalid	PHILIPPINES		Grounded off Scarborough Shoals, 150 miles northwest of Manila in the South China Sea	Arsinoe, a French tanker	French seaman	M	0		Fatal	Unknown	Unknown	Unknown	Manila Daily Bulletin, 9/3/1965; SAF Case #1388	Arsinoe
1965-08-26	Unprovoked	USA	New Jersey	Steel Pier, Atlantic City, Atlantic County	Swimming	James Bloodworth, Jr.	M	15	N	Injury	Right thigh	Unknown	Unknown	J. Bloodworth; Philadelphia Inquirer 8/27/1965	Bloodworth
1965-07-30	Provoked	BAHAMAS	Bimini Islands	Lerner Marine Lab	Attempting to anesthetize shark	Karl Kuchnow	M	0	N	Injury	Unknown	Lemon shark	0.	H.D. Baldridge, p. 93	Kuchnow
1965-07-26	Unprovoked	MEXICO	Veracruz	Mocambo	Bathing	Hector Serfio Trillio Jimenez	M	25	Y	Fatal	both leg	Unknown	Unknown	Latin American Times (New York), 8/3/1965 	Jimenez
1965-06-19	Invalid	USA	Florida	In front of Key Biscayne Beach Club, Key Biscayne	Wading	Eugene Rihl III	M	6		Fatal	Unknown	Unknown	Unknown	Miami Herald, 6/20/1965; SAF Case #1372	Rihl
1965-06-18	Invalid	USA	Florida	150 miles southeast of Cape Kennedy	Diving, retrieving film package from Titan 3C rocket	Sgt James Lacasse & Sgt David Milsten, USAF divers	M	0		No injury	Unknown	Unknown	Unknown	Evening Standard (London) 6/9/1965; Sunday Express (London), 6/20/1965 	TitanRocket
1965-06-09	Unprovoked	MEXICO	Veracruz	Mocambo	Swimming	Father Miguel de Jesus Chavez, a Catholic priest	M	38	N	Injury	right leg	Unknown	Unknown	J. Carranza (This is apparently a different case than 1965.05.00.a)	Chavez
	Unprovoked	PAPUA NEW GUINEA	Near Bougainville (North Solomons)	Huhunoti Island	Spearfishing	Mr. Belle Yang, a school teacher	M	0	N	Minor injury	Unknown	Unknown	Unknown	Age (Melbourne) 6/7/1965 	NVNaruchima
	Unprovoked	SOUTH PACIFIC OCEAN			Treading water	Kikio Naruchima	M	0	Y	Fatal	Unknown	Unknown	Unknown	H.D.Baldridge (1994) SAF Case #1510	Yang
1965-05-29	Unprovoked	MEXICO	Veracruz	Playa Mocambo	Swimming	Ignacio Millán	M	0	Y	Fatal	left leg	Unknown	Unknown	The News (Mexico City) 6/1/1965 	Millan
1965-05-28	Unprovoked	MEXICO	Veracruz	Playa Mocambo	Swimming	Fidel Garcia Montero	M	0	Y	Fatal	right leg	Unknown	Unknown	The News (Mexico City) 6/1/1965	Montero
	Unprovoked	EGYPT			Standing		M	0	N	Injury	Unknown	Unknown	Unknown	Falconer-Barker	cFalconerBarker
	Unprovoked	JAMAICA			Diving	Ken Bernard	M	0	N	Minor injury	Unknown	Unknown	Unknown	H.D.Baldridge (1994) SAF Case #1498	bNVBernard
	Unprovoked	MEXICO	Veracruz	Mocambo	Swimming	Father Jose de Jesus Gomez, a priest	M	35	N	Injury	right leg	Unknown	Unknown	The News (Mexico City) 6/12/1965	aGomez
1965-04-29	Unprovoked	USA	Florida	Hobe Sound, Martin County		Morris M. Vorenberg	M	49	N	Injury	hand	Bull shark	Unknown	M. Vorenberg, GSAF	Vorenberg
1965-04-25	Invalid	USA	California	Pacifica, San Mateo County	Surfing	Michael Sammut	M	19		Fatal	Unknown	Unknown	Unknown	I. Marais, M. Levine, L. Jones, GSAF	Sammut
1965-04-10	Unprovoked	USA	Florida	American Shoals off Key West	Spearfishing	Dr. J. D. Morgan	M	28	N	Injury	hand	White shark	10'	J. D. Morgan, M.D. 	Morgan
	Unprovoked	PALAU	Western Caroline Islands	Koror	Walking on reef	Barry Nakamura	M	8	N	Injury	Right leg	Tiger shark	Unknown	P.T. Wilson	bNakamura
	Unprovoked	USA	Florida	Juno Beach, Palm Beach County	Paddling on surfboard	William F. Lachmund	M	17	N	Injury	hand	spinner shark	Unknown	M. Vorenberg, GSAF. R. Greer, M.D.	aLachmund
1965-03-23	Invalid	USA	Puerto Rico	60 miles offshore north of San Juan	Aircraft exploded	15 Royal Canadian Airforce crew & 1 passenger	M	0		Fatal	Unknown	Unknown	Unknown	Dr. S.D. Caller; SAF Case #1360	CanadianAircraft
1965-03-14	Unprovoked	USA	Florida	Pompano Beach, Palm Beach County	Free diving	Rick MacNeilly	M	16	N	Injury	Unknown	Mako shark	Unknown	R. MacNeilly	MacNeilly
1965-02-14	Unprovoked	SOUTH AFRICA	KwaZulu-Natal	Amatikulu	Treading water	Geoffrey Walter Black	M	25	N	Injury	arm   hand	Unknown	1.	G.W. Black, M. Levine,  GSAF;  T. McHugh, A. Heydorn. J. D'Aubrey & P.H. Jacques; T. Wallett, pp.51-52	Black
1965-02-04	Unprovoked	USA	Massachusetts	Granite Pier, Rockport	Scuba diving	Ronald R. Powell	M	18	N	Injury	left thigh	Unknown	1.	R. Powell; Boston Traveler 2/11/1965; H.D. Baldridge, p.184	Powell
1965-01-25	Invalid	USA	California	Newport Beach, Orange County	Motor boat Rebel Belle lost	Jack A. Zittel	M	21		Fatal	Unknown	Unknown	Unknown	H.L. Johnson; SAF Case #1353	RebelBelle
1965-01-23	Unprovoked	SOUTH AFRICA	KwaZulu-Natal	Country Club Beach, Durban	Paddling rescue ski	Ronald Bowers	M	22	N	No injury	Unknown	White shark	3.	D. Davies, J. D'Aubrey & H. Haicker, ORI; M. Levine, GSAF	Bowers
1965-01-16	Unprovoked	SOUTH AFRICA	KwaZulu-Natal	Country Club Beach, Durban	Body surfing	A.W.F. Patterson	M	20	N	Injury	Right thigh	Unknown	Unknown	D. Davies & J. D'Aubrey, GSAF	AWFPatterson
1965-01-10	Unprovoked	AUSTRALIA	Victoria	East of Station Pier, Port Melbourne	Swimming	Arthur Wootton	M	0	N	Injury	Unknown	Unknown	1.	The Australian 1/11/1965	Wootton
1965-01-09	Unprovoked	NEW GUINEA	Central Province	Off Gaire Village	Free diving	Lohia Raho, a 	M	30	Y	Fatal	Unknown	Unknown	4.	South Pacific Post (Port Moresby), 1/11/1965	Raho
	Unprovoked	USA	Texas	Port Lavaca, Calhoun County	Dangling feet in the water	Thomas Darilek	M	13	N	Injury	Foot	Unknown	Unknown	Victoria Advocate, 7/11/2011	gDarilek
	Provoked	USA	California	Dana Point, San Clemente, Orange County	Surfing	Barry Berg	M	0	N	Injury	Unknown	Unknown	Unknown	Orange County Register, 1/28/2998	fBerg
	Provoked	USA	Florida	Between Palm  & Salerno Inlets, Martin County	Collecting marine specimens	Frank ---	M	0	N	No injury	Unknown	Nurse shark	0.	M. Vorenberg, GSAF	eFrankRivieraBeach
	Unprovoked	RED SEA	East of the Gulf of Aqaba		Standing in waist-deep water		M	0	N	Injury	Unknown	Small shark	Unknown	Captain T. Falcon-Barker	dmale
	Unprovoked	EGYPT		South of Hurghada	Spearfishing, but standing in the water		M	0	N	Injury	and thigh	mako shark	1.	Captain T. Falcon-Barker	cspearfishingmale
	Unprovoked	VANUATU	Malampa Province	Island of Paam'a		3 s	M	0	Y	Fatal	Unknown	Unknown	Unknown	M. Levine, GSAF	bPamaa
	Invalid	SOUTH AFRICA	Eastern Cape Province	Pollock Beach	Bather	nan		0		Fatal	Unknown	Unknown	Unknown	M. Levine, GSAF, Possible confusion in press with Huskisson incident	aNVPollockBeach
1964-12-25	Unprovoked	SOUTH AFRICA	Eastern Cape Province	Port Alfred	Swimming	W. A. Strijdom	M	19	N	Injury	Unknown	Raggedtooth shark	Unknown	Dr. Macrae; J. D'Aubrey, M. Levine, GSAF	Strijdom
	Unprovoked	PAPUA NEW GUINEA	Bougainville (North Solomons)	Buka Island			M	0	N	Injury	Unknown	Unknown	Unknown	H.D.Baldridge (1994) SAF Case #1558	bNVBuja
	Boat	AUSTRALIA	New South Wales	Port Jervis	Fishing	19' boat, occupants: Ray Peckham, L.C. Wells		0	N	No injury	Unknown	Unknown	4.	Adelaide Advertiser, 12/11/1965	aNVBoatPeckhamWells
1964-12-09	Unprovoked	PAPUA NEW GUINEA	Bougainville (North Solomons)	Off Sing Village, Buka Island	Canoe swamped, swimming back to canoe	Soso, a 	M	28	N	Injury	Unknown	Unknown	2.	South Pacific Post (Port Moresby), 12/16/1964	Soso
1964-12-06	Unprovoked	KENYA	Coast Province	Kilindini Harbor, Mombasa	Fishing with hand line tied to wrist & was pulled into the water	Musa Mohammed	M	10	Y	Fatal	Unknown	Unknown	Unknown	Star, 12/7/1964	Mohammed
1964-11-29	Unprovoked	AUSTRALIA	Victoria 	Lady Julia Percy Island	Free diving with seals	Henri Bource	M	25	N	Injury	Left leg	White shark	2.	A. Sharpe, pp.115-116; H. Edwards, pp.67-71; J. Green, p.35; A. MacCormick, pp.88-91; J. West, ASAF	Bource
1964-11-18	Unprovoked	AUSTRALIA	Queensland	Fingal Beach, near Tweed Heads	Swimming out to rescue swimmers in difficulty	Glenthorne Prior	M	29	Y	Fatal	Unknown	Unknown	Unknown	Daily Mirror (Sydney), 11/19/1964	Prior
1964-11-13	Provoked	AUSTRALIA	New South Wales	North Solitary Island, 8 miles from Wolli	Filming underwater, carrying powerhead	Jon Harding	M	25	N	Injury	Unknown	White shark	2.	H.D. Baldridge, p.57	Harding
1964-11-05	Boat	USA	Puerto Rico		Longline fishing	18 hp Boston Whaler boat, occupant: G. W. Bane, Jr.		0	N	No injury	Unknown	Mako shark	Unknown	G. W. Bane, Jr.	NVBostonWhaler
1964-10-31	Provoked	SOUTH AFRICA	KwaZulu-Natal	Umkomaas	Surf fishing	Robin Clausen	M	0	N	Injury	Right leg	Unknown	Unknown	M. Levine, GSAF	Clausen
1964-10-25	Invalid	USA	Florida	Near US Air Force Base at Elgin, Okaloosa County	Boat Miss Becky  sank 12 miles from shore	James C. Beason & Calvin E. Smith, Jr.  spent 16 hours in life raft		0		No injury	Unknown	Unknown	Unknown	Miami News, 10/26/1964; SAF Case #1338	MissBecky
1964-10-04	Unprovoked	AUSTRALIA	Western Australia	Avalon Beach, near Mandurah, 50 miles south of Perth	Surfing, but swimming to his board	Murray Henderson	M	19	N	Injury	lower leg	nurse shark	1.	The Australian 10/5/1964	Henderson
1964-09-27	Invalid				Spearfishing	Giancarlo Griffon	M	24		Fatal	Unknown	Unknown	Unknown	C. Moore. GSAF	Griffon
1964-09-20	Unprovoked	TAIWAN	Northern Taiwan	Tamsui Beach, Taipai	Swimming	Ko Tien-fu	M	32	Y	Fatal	Unknown	Unknown	Unknown	China Post (Taipai, Taiwan) 9/22/1964	Tienfu
1964-09-07	Unprovoked	TAIWAN	Northern Taiwan	Tamsui Beach	Swimming	LO Chiu-yang	M	20	N	Injury	Right thigh	Unknown	1.	China Post (Taipei, Taiwan) 9/22/1964; J. Wong	Yang
1964-08-26	Unprovoked	USA	Florida	Hollywood Beach, Broward County	Swimming	Marc Tayman	M	14	N	Injury	Unknown	Unknown	Unknown	M. Tayman	Tayman
1964-08-23	Unprovoked	MEXICO	Guerrero	Acapulco	Floating on his back in an inner tube	Thad T. Moore	M	19	N	Injury	Right thigh	Unknown	1.	T.T. Moore	Moore
1964-08-22	Invalid	USA	Florida	5 miles south of Palm Beach	Spearfishing / free diving	Kenny Ruszenas	M	18		No injury	Unknown	Unknown	Unknown	M. Vorenberg, GSAF	Ruszenas
1964-08-21	Unprovoked	USA	Florida	Panama City, Bay County	Swimming	Ron Kopenski	M	0	N	No injury	Unknown	Unknown	3'	W.H. Tobert	Kopenski
1964-08-08	Unprovoked	USA	Florida	2 miles off Jupiter, Palm Beach County	Spearfishing using scuba	James R. Webb	M	28	N	No injury	Unknown	Hammerhead shark	Unknown	H.D. Baldridge, p.183	Webb
1964-08-03	Unprovoked	JAPAN	Okayama Prefecture	Saidaiji	Swimming	Yoshio Ukita	M	12	N	Injury	Unknown	Unknown	Unknown	K. Nakaya	Ukita
	Unprovoked	PANAMA	San Blas	Off Achutuppu Island near Ailigandi	Free diving / Spearfishingat edge of reef		M	21	N	Injury	Foot	Unknown	1.	H. Loftin	Achtupu
1964-07-27	Provoked	USA	Puerto Rico			Manuel Alvelo	M	22	N	Injury	Unknown	Nurse shark	Unknown	H.D.Baldridge (1994) SAF Case #1547	NVAlvelo
1964-07-16	Unprovoked	SOUTH AFRICA	KwaZulu-Natal	Island Rock	Searching for remains of  Dr. Marais	Len Jones	M	30	N	No injury	Unknown	Zambesi shark	Unknown	L. Jones, M. Levine,GSAF	Jones
1964-07-15	Invalid	USA	Connecticut	3 days out of Old Saybrook, Connecticut, 37.04'N, 67.57'W, Southern fringe of Gulf Stream	Yacht Gooney Bird foundered, 4 survivors on raft	nan		0		No injury	Unknown	Unknown	Unknown	SAF Case #1313	GooneyBird
1964-07-10	Invalid	SOUTH AFRICA	KwaZulu-Natal	Island Rock	Spearfishing 	Dr. J. J. Marais	M	52	Y	Fatal	Unknown	Unknown	Unknown	I. Marais, M. Levine, L. Jones, GSAF	Marais
1964-07-08	Provoked	USA	Florida	Palm Beach, Palm Beach County	Tagging sharks	18' boat of Morris Vorenberg	M	0	N	No injury	Unknown	white shark	Unknown	M. Vorenberg, GSAF	Vorenberg
	Unprovoked	PAPUA NEW GUINEA	New Ireland Province	A reef off New Hanover (Northern end)	Standing / fishing	Kambagil, 	M	0	Y	Fatal	Unknown	Unknown	Unknown	Times Courier (Lae, PNG) 7/29/1964 	bKambagil
	Boat	PAPUA NEW GUINEA	New Ireland Province	Southern end	canoeing	occupant: child		0	N	No injury	Unknown	Unknown	Unknown	Times Courier (Lae, PNG) 7/29/1964	achild
	Sea Disaster	BERMUDA	Hamilton	2 miles south of Castle Island Harbour entrance to Hamilton	Conducting a promotional film project for the Gemini space program (a practice astronaut recovery)	2 USAF 4-engine planes (an HC-54 & a HC-97) each with 12 onboard collided in mid-air at low altitude and plunged into the Atlantic Ocean		0	Y	Fatal	Unknown	Unknown	Unknown	Washington Post, 6/30/1964; SAF Case #1295	AirCollision
1964-06-28	Invalid	USA	New York	Long Island	Attempting to swim across the Atlantic Ocean	Britt Sullivan	F	29		Fatal	Unknown	Unknown	Unknown	Oakland Tribune, 6/29/1964	Sullivan
1964-06-24	Boat	USA	California	Long Beach, Los Angeles County	Fishing	boat, occupant: Harvey Birch		0	N	No injury	Unknown	Unknown	2.	Valley News (Gardena), 6/28/1964 	BirchBoat
1964-06-17	Boat	PAPUA NEW GUINEA	New Britain	Near Rabaul	Fishing	canoe, occupant: Herman Taman	M	0	N	No injury	Unknown	Unknown	2.	SAF Case #1300	TamanCanoe
1964-06-23	Unprovoked	FIJI	Lau Group	Tovu, Totoya Island	Spearfishing	Isireli Mara	M	23	N	Injury	Unknown	Unknown	Unknown	Fiji Times, 6/26/1963 	IsireliMara
1964-06-02	Invalid	SOUTH AFRICA	KwaZulu-Natal	Port Edward	Swimming	Dawood Pili	M	40		Fatal	Unknown	Unknown	Unknown	D. Davies	Pili
1964-05-30	Unprovoked	PANAMA	Caribbean Coast		Standing	W.W. Fitzsimmons	M	47	N	No injury	Unknown	Lemon shark	Unknown	H.D. Baldridge, SAF Case #1496	NVFitzsimmons
1964-05-08	Unprovoked	FIJI	Vita Levu	Naviti	Spearfishing	Sailasa Ratubalavu	M	35	Y	Fatal	Unknown	Tiger shark	Unknown	H.D. Baldridge, p.196; Clark, p.87	Ratubalavu
	Unprovoked	PANAMA	San Blas Islands	Achutupu, a small island ner Ailigandi	Skin diving		M	13	Y	Fatal	Unknown	Unknown	1.	H. Loftin	Achtupu
1964-04-07	Unprovoked	PAPUA NEW GUINEA	Madang Province	Inshore side of reef near Madang	Fishing	Simon Kilaleg	M	0	Y	Fatal	Unknown	Unknown	Unknown	Daily News (Perth), 4/8/1964	Kialeg
	Unprovoked	AUSTRALIA	South Australia	Surfers Paradise Beach near Victor Harbour	Surfing	Allan Spry	M	19	N	Injury	Left thigh	Unknown	1.	Advertiser (Adelaide) and Telegraph (Sydney), 3/30/1964 	bSpry
	Sea Disaster	PAPUA NEW GUINEA	Central Province	30 miles from Port Moresby	Canoe capsized with 10 occupants, 8 survived,  Hamilton swam off to seek help	Donald Hamilton	M	32	Y	Fatal	Unknown	Unknown	Unknown	Daily Mirror (Sydney), 3/311964; SAF Case 1333	aHamilton
1964-03-05	Unprovoked	USA	Florida	Fort Lauderdale, Broward County	Skin diving 	James R. Duryea	M	38	N	Minor injury	Unknown	Unknown	1.	Sun Sentinel, 3/6/1964 	Duryea
	Unprovoked	SENEGAL	Cap Vert Peninsula	Bel Air, Dakar	Free diving for shell	O.D.	M	0	N	Injury	Thigh   hand	m shark	3 m		Senegal
	Provoked	FIJI		Savuli Reef	Fishing	boat, occupant: R. Southey of Lautoka		0	N	Injury	Unknown	Tiger shark	3.	Fiji Times, 2/17/1964	RFijiboat
	Unprovoked	NEW CALEDONIA			Diving for trochus shell	Bernard Taye	M	15	Y	Fatal	other leg	Unknown	Unknown	Sydney Daily Telegraph, 2/15/1964 	bTaye
	Unprovoked	FIJI	Vanua Levu	Nailou Village, Tunuloa Natewa Bay	Spearfishing	Ivo Berabi	M	17	Y	Fatal	Unknown	Unknown	Unknown	Fiji Times; L. Schultz	aBerabi
1964-02-11	Unprovoked	NEW ZEALAND	North Island	Palliser Bay, Whatarangi (east of Wellington)	preparing to go skin diving		M	0	N	Injury	Unknown	Unknown	Unknown	R.D.Weeks, GSAF; Otago Daily Times, 2/13/1964, p.5	malePalliserBay
1964-02-10	Unprovoked	NEW ZEALAND	North Island	West of Pukerua Bay, Wellington	Spearfishing	Dr. Ken R. Markham	M	26	N	No injury	Unknown	White shark	3 m	R.D. Weeks, GSAF; Otago Daily Times, 2/11/1964, p1; Wellington Evening Post, 2/17/1960	Markham
1964-02-08	Unprovoked	SOUTH AFRICA	Western Cape Province	Muizenberg	Body boarding	Alan Saffery	M	25	N	Injury	Unknown	White shark	1.	D. Davies; M. Levine, GSAF	Saffery
	Unprovoked	NEW ZEALAND	North Island	Hokio Beach, near Levin	Lying in 2 feet of water		M	0	N	Injury	Right leg	sand shark	Unknown	R.D. Weeks, GSAF	bHokio
